match_id,player1,player2,player1hand,player2hand
20110629-M-Wimbledon-QF-Mardy_Fish-Rafael_Nadal.html,Mardy Fish,Rafael Nadal,RH,LH
20110629-M-Wimbledon-QF-Roger_Federer-Jo_Wilfried_Tsonga.html,Roger Federer,Jo Wilfried Tsonga,RH,RH
20110630-W-Wimbledon-SF-Petra_Kvitova-Victoria_Azarenka.html,Petra Kvitova,Victoria Azarenka,LH,RH
20110630-W-Wimbledon-SF-Sabine_Lisicki-Maria_Sharapova.html,Sabine Lisicki,Maria Sharapova,RH,RH
20110701-M-Wimbledon-SF-Andy_Murray-Rafael_Nadal.html,Andy Murray,Rafael Nadal,RH,LH
20110701-M-Wimbledon-SF-Novak_Djokovic-Jo_Wilfried_Tsonga.html,Novak Djokovic,Jo Wilfried Tsonga,RH,RH
20110702-W-Wimbledon-F-Petra_Kvitova-Maria_Sharapova.html,Petra Kvitova,Maria Sharapova,LH,RH
20110703-M-Wimbledon-F-Novak_Djokovic-Rafael_Nadal.html,Novak Djokovic,Rafael Nadal,RH,LH
20110717-M-Bastad-F-David_Ferrer-Robin_Soderling.html,David Ferrer,Robin Soderling,RH,RH
20110813-M-Canada_Masters-SF-Mardy_Fish-Janko_Tipsarevic.html,Mardy Fish,Janko Tipsarevic,RH,RH
20110813-M-Canada_Masters-SF-Novak_Djokovic-Jo_Wilfried_Tsonga.html,Novak Djokovic,Jo Wilfried Tsonga,RH,RH
20110813-W-Toronto-SF-Serena_Williams-Victoria_Azarenka.html,Serena Williams,Victoria Azarenka,RH,RH
20110814-M-Canada_Masters-F-Novak_Djokovic-Mardy_Fish.html,Novak Djokovic,Mardy Fish,RH,RH
20110814-W-Toronto-F-Samantha_Stosur-Serena_Williams.html,Samantha Stosur,Serena Williams,RH,RH
20110815-M-Cincinnati_Masters-R32-Roger_Federer-Juan_Martin_Del_Potro.html,Roger Federer,Juan Martin Del Potro,RH,RH
20110820-M-Cincinnati_Masters-SF-Andy_Murray-Mardy_Fish.html,Andy Murray,Mardy Fish,RH,RH
20110820-M-Cincinnati_Masters-SF-Novak_Djokovic-Tomas_Berdych.html,Novak Djokovic,Tomas Berdych,RH,RH
20110821-M-Cincinnati_Masters-F-Novak_Djokovic-Andy_Murray.html,Novak Djokovic,Andy Murray,RH,RH
20110821-W-Cincinnati-F-Jelena_Jankovic-Maria_Sharapova.html,Jelena Jankovic,Maria Sharapova,RH,RH
20110909-M-US_Open-SF-Roger_Federer-Novak_Djokovic.html,Roger Federer,Novak Djokovic,RH,RH
20110910-W-US_Open-F-Serena_Williams-Samantha_Stosur.html,Serena Williams,Samantha Stosur,RH,RH
20110910-W-US_Open-SF-Samantha_Stosur-Angelique_Kerber.html,Samantha Stosur,Angelique Kerber,RH,LH
20110910-W-US_Open-SF-Serena_Williams-Caroline_Wozniacki.html,Serena Williams,Caroline Wozniacki,RH,RH
20110911-M-US_Open-F-Rafael_Nadal-Novak_Djokovic.html,Rafael Nadal,Novak Djokovic,LH,RH
20110911-M-US_Open-SF-Andy_Murray-Rafael_Nadal.html,Andy Murray,Rafael Nadal,RH,LH
20110916-M-Davis_Cup_World_Group_SF-RR-Richard_Gasquet-Rafael_Nadal.html,Richard Gasquet,Rafael Nadal,RH,LH
20110917-M-Davis_Cup_World_Group_PO-RR-Roger_Federer-Lleyton_Hewitt.html,Roger Federer,Lleyton Hewitt,RH,RH
20110918-M-Davis_Cup_World_Group_SF-RR-Jo_Wilfried_Tsonga-Rafael_Nadal.html,Jo Wilfried Tsonga,Rafael Nadal,RH,LH
20111002-M-Bangkok-F-Donald_Young-Andy_Murray.html,Donald Young,Andy Murray,LH,RH
20111002-W-Tokyo-F-Agnieszka_Radwanska-Vera_Zvonareva.html,Agnieszka Radwanska,Vera Zvonareva,RH,RH
20111008-M-Tokyo-SF-David_Ferrer-Andy_Murray.html,David Ferrer,Andy Murray,RH,RH
20111009-M-Shanghai_Masters-R32-David_Ferrer-Milos_Raonic.html,David Ferrer,Milos Raonic,RH,RH
20111009-M-Tokyo-F-Rafael_Nadal-Andy_Murray.html,Rafael Nadal,Andy Murray,LH,RH
20111009-W-Beijing-F-Andrea_Petkovic-Agnieszka_Radwanska.html,Andrea Petkovic,Agnieszka Radwanska,RH,RH
20111013-W-Linz-R16-Patricia_Mayr_Achleitner-Petra_Kvitova.html,Patricia Mayr Achleitner,Petra Kvitova,RH,LH
20111015-M-Shanghai_Masters-SF-David_Ferrer-Feliciano_Lopez.html,David Ferrer,Feliciano Lopez,RH,LH
20111015-M-Shanghai_Masters-SF-Kei_Nishikori-Andy_Murray.html,Kei Nishikori,Andy Murray,RH,RH
20111016-M-Shanghai_Masters-F-David_Ferrer-Andy_Murray.html,David Ferrer,Andy Murray,RH,RH
20111021-M-Stockholm-QF-Grigor_Dimitrov-Milos_Raonic.html,Grigor Dimitrov,Milos Raonic,RH,RH
20111025-M-Vienna-R32-Thomas_Muster-Dominic_Thiem.html,Thomas Muster,Dominic Thiem,LH,RH
20111030-M-Vienna-F-Juan_Martin_Del_Potro-Jo_Wilfried_Tsonga.html,Juan Martin Del Potro,Jo Wilfried Tsonga,RH,RH
20111030-W-WTA_Championships-F-Petra_Kvitova-Victoria_Azarenka.html,Petra Kvitova,Victoria Azarenka,LH,RH
20111106-M-Basel-F-Kei_Nishikori-Roger_Federer.html,Kei Nishikori,Roger Federer,RH,RH
20111110-M-Paris_Masters-R16-Richard_Gasquet-Roger_Federer.html,Richard Gasquet,Roger Federer,RH,RH
20111111-M-Paris_Masters-QF-Roger_Federer-Juan_Monaco.html,Roger Federer,Juan Monaco,RH,RH
